󰀠,󰀑,󰀒,󰀓,󰀔,󰀕,󰀖,󰀗,,,,
󰀰,󰀡,󰀢,󰀣,󰀤,󰀥,󰀦,󰀧,,,,
󰁀,󰀱,󰀲,󰀳,󰀴,󰀵,󰀶,󰀷,,,,
󰁐,󰁁,󰁂,󰁃,󰁄,󰁅,󰁆,󰁇,,,,
󰁠,󰁑,󰁒,󰁓,󰁔,󰁕,󰁖,󰁗,,,,
󰁰,󰁡,󰁢,󰁣,󰁤,󰁥,󰁦,󰁧,,,,
󰂀,󰁱,󰁲,󰁳,󰁴,󰁵,󰁶,󰁷,,,,
󰂐,󰂁,󰂂,󰂃,󰂄,󰂅,󰂆,󰂇,,,,
󰂠,󰂑,󰂒,󰂓,󰂔,󰂕,󰂖,󰂗,,,,
󰂰,󰂡,󰂢,󰂣,󰂤,󰂥,󰂦,󰂧,,,,
󰃀,󰂱,󰂲,󰂳,󰂴,󰂵,󰂶,󰂷,,,,
󰏐,󰏁,󰏂,󰏃,󰏄,󰏅,󰏆,󰏇,,,,
󰏠,󰏑,󰏒,󰏓,󰏔,󰏕,󰏖,󰏗,,,,
󰏰,󰏡,󰏢,󰏣,󰏤,󰏥,󰏦,󰏧,,,,
󰐀,󰏱,󰏲,󰏳,󰏴,󰏵,󰏶,󰏷,,,,
󰐐,󰐁,󰐂,󰐃,󰐄,󰐅,󰐆,󰐇,,,,
󰐠,󰐑,󰐒,󰐓,󰐔,󰐕,󰐖,󰐗,,,,
󰉐,󰉁,󰉂,󰉃,󰉄,󰉅,󰉆,󰉇,,,,
󰉠,󰉑,󰉒,󰉓,󰉔,󰉕,󰉖,󰉗,,,,
󰉰,󰉡,󰉢,󰉣,󰉤,󰉥,󰉦,󰉧,,,,
󰊀,󰉱,󰉲,󰉳,󰉴,󰉵,󰉶,󰉷,,,,
󰊐,󰊁,󰊂,󰊃,󰊄,󰊅,󰊆,󰊇,,,,
󰊠,󰊑,󰊒,󰊓,󰊔,󰊕,󰊖,󰊗,,,,
󰊰,󰊡,󰊢,󰊣,󰊤,󰊥,󰊦,󰊧,,,,
󰋀,󰊱,󰊲,󰊳,󰊴,󰊵,󰊶,󰊷,,,,
󰋐,󰋁,󰋂,󰋃,󰋄,󰋅,󰋆,󰋇,,,,
󰋠,󰋑,󰋒,󰋓,󰋔,󰋕,󰋖,󰋗,,,,
󰋰,󰋡,󰋢,󰋣,󰋤,󰋥,󰋦,󰋧,,,,
,,,,,,,,,,,
󰑀,󰐱,󰐲,󰐳,󰐴,󰐵,󰐶,󰐷,,,,
󰒠,󰒑,󰒒,󰒓,󰒔,󰒕,󰒖,󰒗,,,,
,,,,,,,,,,,
󰐰,󰐡,󰐢,󰐣,󰐤,󰐥,󰐦,󰐧,,,,
󰒐,󰒁,󰒂,󰒃,󰒄,󰒅,󰒆,󰒇,,,,
󰓰,󰓡,󰓢,󰓣,󰓤,󰓥,󰓦,󰓧,,,,
󰜰,󰜡,󰜢,󰜣,󰜤,󰜥,󰜦,󰜧,,,,
󰞐,󰞁,󰞂,󰞃,󰞄,󰞅,󰞆,󰞇,,,,
,,,,,,,,,,,
󰡐,󰡁,󰡂,󰡃,󰡄,󰡅,󰡆,󰡇,,,,
󰡠,󰡑,󰡒,󰡓,󰡔,󰡕,󰡖,󰡗,,,,
󰡰,󰡡,󰡢,󰡣,󰡤,󰡥,󰡦,󰡧,,,,
,,,,,,,,,,,
󰕐,󰕁,󰕂,󰕃,󰕄,󰕅,󰕆,󰕇,,,,
󰕠,󰕑,󰕒,󰕓,󰕔,󰕕,󰕖,󰕗,,,,
󰕰,󰕡,󰕢,󰕣,󰕤,󰕥,󰕦,󰕧,,,,
󰟰,󰟡,󰟢,󰟣,󰟤,󰟥,󰟦,󰟧,,,,
󰠀,󰟱,󰟲,󰟳,󰟴,󰟵,󰟶,󰟷,,,,
󰠐,󰠁,󰠂,󰠃,󰠄,󰠅,󰠆,󰠇,,,,
󰘐,󰘁,󰘂,󰘃,󰘄,󰘅,󰘆,󰘇,,,,
󰘠,󰘑,󰘒,󰘓,󰘔,󰘕,󰘖,󰘗,,,,
󰘰,󰘡,󰘢,󰘣,󰘤,󰘥,󰘦,󰘧,,,,
,,,,,,,,,,,
󰭐,󰭁,󰭂,󰭃,󰭄,󰭅,󰭆,󰭇,,,,
󰭠,󰭑,󰭒,󰭓,󰭔,󰭕,󰭖,󰭗,,,,
󰭰,󰭡,󰭢,󰭣,󰭤,󰭥,󰭦,󰭧,,,,
